hidden_dim=768 feature=54 selected_neurons_count=192 selected_neurons=[(588, 8.066069602966309), (61, 2.836441993713379), (361, 2.1414144039154053), (551, 2.0975077152252197), (751, 2.018857002258301), (764, 1.9244598150253296), (82, 1.8736562728881836), (4, 1.8600709438323975), (259, 1.8358429670333862), (249, 1.6690117120742798)]
hidden_dim=768 feature=55 selected_neurons_count=116 selected_neurons=[(588, 9.08914566040039), (551, 6.125974178314209), (61, 1.9120742082595825), (240, 1.7020999193191528), (663, 1.5499968528747559), (764, 1.5331209897994995), (330, 1.4027676582336426), (586, 1.31236732006073), (249, 1.2083837985992432), (214, 1.1731150150299072)]
hidden_dim=768 feature=56 selected_neurons_count=138 selected_neurons=[(588, 7.367923736572266), (551, 3.1197829246520996), (61, 2.7982113361358643), (751, 1.6564909219741821), (519, 1.6082615852355957), (330, 1.4982272386550903), (361, 1.4647973775863647), (259, 1.3124992847442627), (764, 1.305832862854004), (663, 1.2852932214736938)]
hidden_dim=768 feature=57 selected_neurons_count=88 selected_neurons=[(588, 11.2698335647583), (551, 5.151801109313965), (331, 1.5750463008880615), (570, 1.4280672073364258), (416, 1.1913056373596191), (11, 1.1514397859573364), (330, 1.1189848184585571), (156, 0.9898759126663208), (502, 0.9528695940971375), (460, 0.9068676233291626)]
hidden_dim=768 feature=58 selected_neurons_count=50 selected_neurons=[(588, 8.628159523010254), (61, 4.430591106414795), (551, 2.605032444000244), (731, 1.004156470298767), (361, 0.9676380753517151), (95, 0.9671320915222168), (82, 0.9175617694854736), (611, 0.9021888375282288), (169, 0.9014851450920105), (519, 0.8527117371559143)]
hidden_dim=768 feature=59 selected_neurons_count=117 selected_neurons=[(588, 4.377105712890625), (61, 2.9281063079833984), (551, 2.0859885215759277), (611, 1.8647440671920776), (215, 1.7324503660202026), (518, 1.3507156372070312), (498, 1.3102830648422241), (446, 1.304237723350525), (97, 1.2953259944915771), (100, 1.2625000476837158)]
hidden_dim=768 feature=60 selected_neurons_count=112 selected_neurons=[(588, 7.426028728485107), (551, 3.26676607131958), (61, 1.910845160484314), (133, 1.5988233089447021), (611, 1.4522624015808105), (664, 1.3492460250854492), (85, 1.3349337577819824), (206, 1.3230124711990356), (359, 1.2779039144515991), (577, 1.2220768928527832)]
hidden_dim=768 feature=61 selected_neurons_count=218 selected_neurons=[(588, 7.01959228515625), (551, 3.053476333618164), (61, 2.860030174255371), (764, 2.2354929447174072), (259, 2.200925588607788), (249, 1.8905097246170044), (663, 1.8805859088897705), (29, 1.7806812524795532), (751, 1.7735822200775146), (4, 1.751713514328003)]
hidden_dim=768 feature=62 selected_neurons_count=54 selected_neurons=[(588, 10.570021629333496), (551, 1.9558347463607788), (219, 1.4059672355651855), (573, 1.3766593933105469), (61, 1.3457504510879517), (40, 0.9517982006072998), (361, 0.8581698536872864), (330, 0.8157784938812256), (123, 0.8143687844276428), (169, 0.7477631568908691)]
hidden_dim=768 feature=63 selected_neurons_count=172 selected_neurons=[(588, 8.263191223144531), (551, 5.207866191864014), (61, 1.4006890058517456), (206, 1.362824559211731), (754, 1.3439677953720093), (195, 1.3130624294281006), (497, 1.2726662158966064), (63, 1.2145252227783203), (169, 1.2019896507263184), (4, 1.1727615594863892)]
hidden_dim=768 feature=64 selected_neurons_count=96 selected_neurons=[(588, 9.708284378051758), (61, 2.547924757003784), (551, 1.9162278175354004), (219, 1.509801983833313), (573, 1.2798092365264893), (169, 1.0967581272125244), (731, 1.058043360710144), (123, 1.044955849647522), (195, 1.0003349781036377), (611, 0.9672144055366516)]
hidden_dim=768 feature=65 selected_neurons_count=37 selected_neurons=[(588, 10.371733665466309), (551, 3.7572195529937744), (331, 0.8729259371757507), (559, 0.8074124455451965), (496, 0.7988737225532532), (144, 0.7721551656723022), (57, 0.7518299221992493), (55, 0.7188944816589355), (754, 0.6860193014144897), (330, 0.6765567660331726)]
hidden_dim=768 feature=66 selected_neurons_count=170 selected_neurons=[(588, 10.155241012573242), (551, 3.036505699157715), (300, 1.7188165187835693), (61, 1.4703469276428223), (611, 1.4233028888702393), (754, 1.3087928295135498), (73, 1.231429934501648), (671, 1.2311320304870605), (16, 1.204248309135437), (750, 1.1593621969223022)]
hidden_dim=768 feature=67 selected_neurons_count=74 selected_neurons=[(588, 10.429106712341309), (61, 2.4462814331054688), (551, 2.095564126968384), (219, 1.6577690839767456), (573, 1.24302077293396), (193, 1.2238585948944092), (731, 1.2226289510726929), (82, 1.057906985282898), (10, 1.012927770614624), (561, 0.9050706028938293)]
hidden_dim=768 feature=68 selected_neurons_count=97 selected_neurons=[(588, 9.222668647766113), (551, 1.9046540260314941), (361, 1.3501288890838623), (748, 1.045284628868103), (61, 1.0327659845352173), (119, 0.9377318620681763), (420, 0.9267130494117737), (741, 0.9056636691093445), (169, 0.85856693983078), (634, 0.795497477054596)]
hidden_dim=768 feature=69 selected_neurons_count=69 selected_neurons=[(588, 8.609553337097168), (551, 3.8703229427337646), (61, 3.2202491760253906), (611, 1.269361972808838), (215, 1.11941397190094), (361, 1.0370509624481201), (751, 1.0259573459625244), (446, 1.0252490043640137), (498, 0.9983885288238525), (169, 0.9775646328926086)]
hidden_dim=768 feature=70 selected_neurons_count=75 selected_neurons=[(588, 8.645116806030273), (551, 5.341736793518066), (61, 2.1393165588378906), (254, 1.4134093523025513), (764, 1.3679249286651611), (749, 1.1596828699111938), (702, 1.141410231590271), (751, 1.1297980546951294), (333, 1.0701594352722168), (4, 1.0165125131607056)]
hidden_dim=768 feature=71 selected_neurons_count=58 selected_neurons=[(588, 8.88003158569336), (551, 2.490032196044922), (61, 1.1648144721984863), (611, 1.1283222436904907), (219, 1.0679837465286255), (112, 0.921382486820221), (63, 0.8662392497062683), (573, 0.8410860896110535), (215, 0.8345885872840881), (119, 0.8005241751670837)]
hidden_dim=768 feature=72 selected_neurons_count=206 selected_neurons=[(588, 7.176081657409668), (61, 3.23099946975708), (551, 2.6905269622802734), (751, 2.380998373031616), (361, 2.0201773643493652), (764, 1.8865119218826294), (259, 1.859204649925232), (214, 1.713142991065979), (4, 1.7045561075210571), (79, 1.6773773431777954)]
hidden_dim=768 feature=73 selected_neurons_count=206 selected_neurons=[(551, 5.542660713195801), (570, 3.7936110496520996), (611, 2.6993627548217773), (656, 2.5681190490722656), (245, 2.432783842086792), (38, 2.408801555633545), (664, 2.3298792839050293), (397, 1.9616539478302002), (331, 1.754536509513855), (330, 1.6879560947418213)]
hidden_dim=768 feature=74 selected_neurons_count=81 selected_neurons=[(588, 11.272140502929688), (551, 6.71565055847168), (570, 2.065107583999634), (331, 1.6813576221466064), (330, 1.3364603519439697), (217, 1.081831693649292), (156, 1.0196369886398315), (85, 0.8816131353378296), (416, 0.8538236618041992), (324, 0.8385651111602783)]
hidden_dim=768 feature=75 selected_neurons_count=102 selected_neurons=[(551, 6.8696208000183105), (588, 6.345703125), (496, 1.7913964986801147), (61, 1.5314538478851318), (333, 1.5288043022155762), (497, 1.4237298965454102), (577, 1.1816487312316895), (756, 1.1382462978363037), (245, 1.1358989477157593), (518, 1.1158068180084229)]
